?部門コード,部門名,部門種別,指標タイプ,期間区分,単位,目標値,病床数
05A,5階A病棟,病棟,週間新入院患者数,全日,人/週,52,49
05B,5階B病棟,病棟,週間新入院患者数,全日,人/週,42,39
06A,6階A病棟,病棟,週間新入院患者数,全日,人/週,35,50
06B,6階B病棟,病棟,週間新入院患者数,全日,人/週,33,50
07A,7階A病棟,病棟,週間新入院患者数,全日,人/週,34,48
07B,7階B病棟,病棟,週間新入院患者数,全日,人/週,51,34
08A,8階A病棟,病棟,週間新入院患者数,全日,人/週,23,48
08B,8階B病棟,病棟,週間新入院患者数,全日,人/週,26,45
09A,9階A病棟,病棟,週間新入院患者数,全日,人/週,20,26
09B,9階B病棟,病棟,週間新入院患者数,全日,人/週,26,50
全体,病院全体,病棟,週間新入院患者数,全日,人/週,380,
全体,病院全体,診療科,週間新入院患者数,全日,人/週,380,
